Reference, Value, Footprint, Datasheet
"D1:16","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K2:16","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D2:16","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K3:16","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D3:16","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K4:16","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D4:16","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"D4:11","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K4:11","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D3:11","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K3:11","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D2:11","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K2:11","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D1:11","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K1:11","KEYSW","keyboard_parts_AO:Kailh_socket",""
"D0:11","D_Small_ALT","Diode_SMD:D_SOD-323_HandSoldering","~"
"K0:11","KEYSW","keyboard_parts_AO:Kailh_socket",""
